LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;04;26;19;00;17.59;86.00;1016.90;0.00;100.00;3.76;0.89;28.58;160.88
2019;04;26;20;00;17.34;87.00;1017.00;0.00;76.00;0.00;0.00;27.94;158.06
2019;04;26;21;00;17.08;88.00;1016.70;0.00;66.00;0.00;0.00;26.28;156.60
2019;04;26;22;00;16.91;89.00;1016.40;0.00;66.00;0.00;0.00;23.19;154.23
2019;04;26;23;00;16.74;88.00;1016.40;0.00;44.00;0.00;0.00;21.09;152.56
2019;04;27;00;00;16.32;90.00;1016.40;0.00;11.00;0.00;0.00;16.60;155.66
2019;04;27;01;00;16.11;91.00;1015.90;0.00;8.00;0.00;0.00;14.37;157.93
2019;04;27;02;00;15.87;92.00;1015.70;0.00;9.00;0.00;0.00;12.10;157.25
2019;04;27;03;00;15.54;94.00;1015.60;0.00;48.00;0.00;0.00;10.31;155.22
2019;04;27;04;00;15.43;95.00;1015.10;0.00;79.00;0.00;0.00;9.50;155.38
2019;04;27;05;00;15.51;94.00;1014.70;0.00;81.00;0.00;0.00;8.53;152.35
2019;04;27;06;00;15.64;93.00;1014.80;0.00;74.00;0.00;0.00;7.73;152.24
2019;04;27;07;00;15.56;93.00;1015.10;0.00;66.00;0.00;0.00;6.12;151.93
2019;04;27;08;00;15.72;93.00;1015.40;0.00;48.00;12.97;29.37;4.69;147.53
2019;04;27;09;00;17.19;84.00;1015.70;0.00;4.00;29.36;198.47;4.83;153.43
2019;04;27;10;00;19.00;75.00;1015.80;0.00;2.00;57.45;372.91;5.24;164.05
